forurening, contamination
miljøpolitik, environmental policy
miljøvenlig, eco-friendly
klimapolitik, climate policy
grøn omstilling, green transition
energieffektivitet, energy efficiency
bæredygtig energi, sustainable energy
CO2-neutral, carbon-neutral
grøn energi, green energy
bæredygtig transport, sustainable transportation
miljøbeskyttelse, environmental protection
klimatilpasning, climate adaptation
affaldssortering, waste sorting
genbrug, recycling
bæredygtig livsstil, sustainable lifestyle
grøn teknologi, green technology
miljøbevidst, environmentally conscious
klimaindsats, climate action
klimaforandringer, climate change
naturbeskyttelse, nature conservation
bæredygtighed, sustainability
forbrug, consumption
solenergi, solar energy
vindenergi, wind energy
fornybar energi, renewable energy
luftforurening, air pollution
vandforurening, water pollution
jordforurening, soil pollution
plastforurening, plastic pollution
bæredygtig udvikling, sustainable development
grøn transport, green transportation
kollektiv transport, public transportation
cykelsti, bicycle lane
grøn infrastruktur, green infrastructure
biodiversitet, biodiversity
økosystem, ecosystem
naturlige ressourcer, natural resources
klimaopvarmning, global warming
klimaforskning, climate research
klimafinansiering, climate financing
CO2-udledning, CO2 emissions
klimaforvaltning, climate governance
klimamål, climate goals
klimakrise, climate crisis
paris-aftalen, Paris Agreement
klimapåvirkning, climate impact
temperaturstigning, temperature rise
havstigning, sea level rise
ekstreme vejrforhold, extreme weather events
tørke, drought
orkan, hurricane
flodbølge, tsunami
oversvømmelse, flood
skovbrand, forest fire
jordskælv, earthquake
bæredygtig landbrug, sustainable agriculture
økologisk landbrug, organic farming
permafrost, permafrost
smeltevand, meltwater
iskappe, ice cap
arktisk is, arctic ice
antarktis, Antarctica
gletsjer, glacier
isbjerg, iceberg
havis, sea ice
iskerner, ice cores
klimaaktivist, climate activist
klimabevægelse, climate movement
klimaaktivisme, climate activism
klimalederskab, climate leadership
bæredygtig fremtid, sustainable future
grøn økonomi, green economy
grøn finans, green finance
CO2-aftryk, carbon footprint
bæredygtigt forbrug, sustainable consumption
grønne jobs, green jobs
bæredygtige investeringer, sustainable investments
klimaneutral, carbon-neutral
